"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var94","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Sirt"
"dependent.var95","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var96","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Al Jabal Al Gharbi"
"dependent.var97","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Derna"
"dependent.var98","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Azzawya"
"dependent.var99","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Zwara"
"dependent.var100","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Murzuq"
"dependent.var101","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Misrata"
"dependent.var102","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var103","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Ubari"
"dependent.var104","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Sebha"
"dependent.var105","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var106","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var107","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Wadi Ashshati"
"dependent.var108","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Aljfara"
"dependent.var109","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var110","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
"dependent.var111","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Sirt"
"dependent.var112","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var113","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Al Jabal Al Gharbi"
"dependent.var114","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Derna"
"dependent.var115","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Azzawya"
"dependent.var116","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Zwara"
