"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"89","request_2","mantika_label","yes","Ubari",0.00648701840835709,NA,-0.00565985253245109,0.0186338893491653,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"90","request_2","mantika_label","no","Wadi Ashshati",1,NA,1,1,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"91","request_2","mantika_label","no","Zwara",0.99119812602807,NA,0.974334957187237,1.0080612948689,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"92","request_2","mantika_label","yes","Zwara",0.00880187397193015,NA,-0.00806129486890311,0.0256650428127634,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"93","request_3","mantika_label","no","Al Jabal Al Gharbi",0.441287844860919,NA,0.360512687779959,0.522063001941879,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"94","request_3","mantika_label","yes","Al Jabal Al Gharbi",0.558712155139081,NA,0.477936998058121,0.639487312220041,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"95","request_3","mantika_label","no","Aljfara",0.576368676380315,NA,0.48261435237965,0.670123000380979,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"96","request_3","mantika_label","yes","Aljfara",0.423631323619685,NA,0.32987699961902,0.51738564762035,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"97","request_3","mantika_label","no","Aljufra",0.106038213269404,NA,0.0511713453185404,0.160905081220267,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"98","request_3","mantika_label","yes","Aljufra",0.893961786730596,NA,0.839094918779733,0.94882865468146,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"99","request_3","mantika_label","no","Alkufra",0.506600557170664,NA,0.427524250207715,0.585676864133613,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
